ParticipantID,Health_Status,SPEAKER_ID,Long_term_attractiveness,Short_term_attractiveness
68,1,10,5,3
68,0,11,5,8
68,0,12,5,3
68,0,13,5,5
68,0,14,5,5
68,0,15,3,5
68,0,16,8,8
68,0,17,5,5
68,0,18,5,5
68,0,19,5,5
68,0,20,5,5
78,1,1,7,7
78,1,2,3,5
78,1,3,6,5
78,1,4,6,7
78,1,5,7,5
78,1,6,7,5
78,1,7,2,5
78,1,8,6,6
78,1,9,3,6
78,1,10,3,6
78,0,11,5,6
78,0,12,6,7
78,0,13,6,7
78,0,14,7,7
78,0,15,2,5
78,0,16,6,7
78,0,17,5,6
78,0,18,4,7
78,0,19,5,6
78,0,20,5,7
18,1,1,7,7
18,1,2,7,7
18,1,3,6,7
18,1,4,6,6
18,1,5,4,8
18,1,6,6,7
18,1,7,7,7
18,1,8,7,6
18,1,9,6,6
18,1,10,7,7
18,0,11,7,8
18,0,12,5,7
18,0,13,7,8
18,0,14,7,6
18,0,15,7,5
18,0,16,7,7
18,0,17,6,8
18,0,18,6,7
18,0,19,7,7
18,0,20,8,7
98,1,1,8,4
98,1,2,3,3
98,1,3,7,6
98,1,4,9,8
98,1,5,7,6
98,1,6,7,8
98,1,7,6,6
98,1,8,7,6
98,1,9,8,4
98,1,10,6,3
98,0,11,8,8
98,0,12,2,3
98,0,13,9,7
98,0,14,6,8
98,0,15,5,4
98,0,16,8,7
98,0,17,8,7
98,0,18,6,3
98,0,19,3,7
98,0,20,5,3
5,1,1,6,6
5,1,2,3,3
5,1,3,5,5
5,1,4,7,7
5,1,5,6,8
5,1,6,5,4
5,1,7,5,5
5,1,8,7,7
5,1,9,8,8
5,1,10,7,8
5,0,11,6,4
5,0,12,1,1
5,0,13,3,1
5,0,14,9,8
5,0,15,4,2
5,0,16,7,8
5,0,17,3,5
5,0,18,7,9
5,0,19,7,2
5,0,20,8,4
41,1,1,9,9
41,1,2,1,1
41,1,3,1,8
41,1,4,9,7
41,1,5,8,4
41,1,6,2,7
41,1,7,1,1
41,1,8,7,5
41,1,9,3,7
41,1,10,4,2
41,0,11,5,5
41,0,12,5,1
41,0,13,7,6
41,0,14,6,8
41,0,15,5,3
41,0,16,7,8
41,0,17,8,5
41,0,18,3,5
41,0,19,4,3
41,0,20,4,3
6,1,1,3,5
6,1,2,3,2
6,1,3,2,2
6,1,4,2,7
6,1,5,3,5
6,1,6,2,8
6,1,7,6,3
6,1,8,4,7
6,1,9,8,7
6,1,10,7,7
6,0,11,4,6
6,0,12,1,4
6,0,13,2,4
6,0,14,7,7
6,0,15,3,2
6,0,16,4,6
6,0,17,3,5
6,0,18,5,5
6,0,19,6,3
6,0,20,6,6
88,1,1,9,9
88,1,2,3,5
88,1,3,2,7
88,1,4,7,8
88,1,5,4,3
88,1,6,4,8
88,1,7,2,1
88,1,8,7,6
88,1,9,6,9
88,1,10,3,5
88,0,11,4,7
88,0,12,3,5
88,0,13,6,7
88,0,14,3,5
88,0,15,4,3
88,0,16,4,7
88,0,17,4,6
88,0,18,8,9
88,0,19,7,4
88,0,20,3,5
38,1,1,3,2
38,1,2,1,2
38,1,3,8,8
38,1,4,9,9
38,1,5,9,8
38,1,6,7,7
38,1,7,2,2
38,1,8,3,4
38,1,9,1,8
38,1,10,2,4
38,0,11,1,6
38,0,12,4,8
38,0,13,7,8
38,0,14,6,8
38,0,15,1,2
38,0,16,7,7
38,0,17,4,8
38,0,18,2,1
38,0,19,4,5
38,0,20,4,3
95,1,1,7,4
95,1,2,1,3
95,1,3,7,8
95,1,4,4,8
95,1,5,6,1
95,1,6,2,7
95,1,7,5,1
95,1,8,7,6
95,1,9,8,1
95,1,10,9,9
95,0,11,2,3
95,0,12,5,6
95,0,13,2,9
95,0,14,5,1
95,0,15,5,5
95,0,16,4,9
95,0,17,4,7
95,0,18,6,6
95,0,19,9,4
95,0,20,6,7
46,1,1,2,4
46,1,2,1,4
46,1,3,2,5
46,1,4,5,7
46,1,5,7,8
46,1,6,8,8
46,1,7,1,2
46,1,8,9,9
46,1,9,8,3
46,1,10,6,4
46,0,11,7,4
46,0,12,2,5
46,0,13,4,6
46,0,14,4,1
46,0,15,1,4
46,0,16,5,5
46,0,17,3,3
46,0,18,3,2
46,0,19,6,4
46,0,20,1,1
111,1,1,4,8
111,1,2,6,8
111,1,3,8,9
111,1,4,7,3
111,1,5,6,9
111,1,6,9,6
111,1,7,7,7
111,1,8,3,7
111,1,9,1,5
111,1,10,3,1
111,0,11,3,3
111,0,12,4,7
111,0,13,6,6
111,0,14,4,8
111,0,15,2,4
111,0,16,3,4
111,0,17,9,3
111,0,18,9,7
111,0,19,2,3
111,0,20,7,1
65,1,1,7,6
65,1,2,5,7
65,1,3,3,8
65,1,4,5,6
65,1,5,4,7
65,1,6,7,3
65,1,7,3,7
65,1,8,7,2
65,1,9,4,7
65,1,10,7,8
65,0,11,7,7
65,0,12,3,2
65,0,13,6,6
65,0,14,7,3
65,0,15,2,2
65,0,16,7,7
65,0,17,3,6
65,0,18,7,4
65,0,19,6,2
65,0,20,5,9
85,1,1,8,3
85,1,2,4,1
85,1,3,1,1
85,1,4,7,4
85,1,5,7,8
85,1,6,8,8
85,1,7,1,6
85,1,8,3,1
85,1,9,1,7
85,1,10,6,3
85,0,11,1,1
85,0,12,6,1
85,0,13,1,4
85,0,14,4,1
85,0,15,1,1
85,0,16,4,6
85,0,17,5,1
85,0,18,1,7
85,0,19,9,5
85,0,20,1,1
83,1,1,7,4
83,1,2,6,8
83,1,3,6,4
83,1,4,7,6
83,1,5,8,5
83,1,6,6,4
83,1,7,8,7
83,1,8,6,6
83,1,9,7,7
83,1,10,4,8
83,0,11,7,7
83,0,12,7,6
83,0,13,7,2
83,0,14,8,7
83,0,15,3,6
83,0,16,7,7
83,0,17,4,7
83,0,18,7,5
83,0,19,7,4
83,0,20,8,7
121,1,1,8,7
121,1,2,1,2
121,1,3,3,5
121,1,4,7,8
121,1,5,8,6
121,1,6,9,9
121,1,7,2,6
121,1,8,8,7
121,1,9,1,6
121,1,10,6,8
121,0,11,5,4
121,0,12,1,3
